Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,47.400002,49.680000,46.849998,48.919998,36.240746,450398100
2013-03-01,48.599998,51.000000,47.279999,47.459999,35.159157,499332300
2013-04-01,47.549999,49.630001,46.049999,49.009998,36.307423,489433900
2013-05-01,48.759998,55.900002,46.980000,54.590000,40.694046,549824600
2013-06-01,54.599998,55.389999,50.110001,52.790001,39.352219,440217000
2013-07-01,53.220001,56.930000,52.119999,55.730000,41.543846,414604000
2013-08-01,56.360001,56.779999,50.130001,50.529999,37.942200,343831300
2013-09-01,51.250000,53.930000,50.060001,51.689999,38.813229,434870300
2013-10-01,51.639999,54.849998,50.250000,51.540001,38.700596,482265300
2013-11-01,51.450001,58.139999,51.299999,57.220001,43.282162,365912800
2013-12-01,57.099998,58.549999,55.400002,58.480000,44.235241,330218200
2014-01-01,58.310001,59.820000,54.689999,55.360001,41.875221,425415900
2014-02-01,55.500000,58.650002,54.200001,56.820000,43.260700,345203100
2014-03-01,56.299999,61.480000,55.689999,60.709999,46.222389,425852600
2014-04-01,60.950001,61.290001,54.349998,55.980000,42.621140,408990800
2014-05-01,55.919998,56.369999,52.970001,55.570000,42.575657,315091600
2014-06-01,55.650002,58.220001,55.020000,57.619999,44.146286,263682000
2014-07-01,57.150002,59.349998,54.959999,57.669998,44.184593,317245600
2014-08-01,57.389999,59.950001,55.599998,59.450001,45.866760,241542700
2014-09-01,59.459999,61.849998,58.779999,60.240002,46.476273,264895100
2014-10-01,60.240002,60.799999,54.259998,60.480000,46.661434,415450800
2014-11-01,60.790001,61.930000,59.419998,60.160000,46.727276,211518300
2014-12-01,59.980000,63.490002,58.110001,62.580002,48.606915,347616300
2015-01-01,62.180000,62.959999,54.369999,54.380001,42.237839,468205900
2015-02-01,54.529999,61.919998,54.270000,61.279999,47.903393,319008100
2015-03-01,61.279999,62.869999,58.869999,60.580002,47.356186,332553100
2015-04-01,60.410000,64.480003,59.650002,63.259998,49.451168,325069500
2015-05-01,63.700001,67.190002,63.250000,65.779999,51.762859,267792200
2015-06-01,65.989998,69.820000,65.580002,67.760002,53.320946,337237800
2015-07-01,68.120003,70.610001,65.209999,68.529999,53.926872,325426300
2015-08-01,68.589996,69.419998,50.070000,64.099998,50.770542,373209100
2015-09-01,62.849998,64.639999,58.730000,60.970001,48.291416,354030500
2015-10-01,61.119999,65.830002,58.529999,64.250000,50.889351,332436100
2015-11-01,64.449997,69.029999,64.389999,66.680000,53.195114,248028500
2015-12-01,67.339996,68.000000,63.509998,66.029999,52.676571,316546000
2016-01-01,63.950001,64.129997,54.660000,59.500000,47.467136,470257300
2016-02-01,59.160000,59.650002,52.500000,56.299999,45.215591,477952300
2016-03-01,56.759998,60.970001,56.669998,59.220001,47.560703,356907400
2016-04-01,59.020000,64.660004,57.070000,63.200001,50.757111,344767700
2016-05-01,63.689999,66.199997,60.590000,65.269997,52.807663,283915300
2016-06-01,64.760002,65.919998,57.049999,62.139999,50.275288,394697700
2016-07-01,61.660000,64.980003,58.759998,63.970001,51.755871,283878900
2016-08-01,64.150002,67.769997,63.380001,67.500000,55.037006,263306200
2016-09-01,67.639999,67.900002,65.110001,66.589996,54.295033,316507200
2016-10-01,66.349998,69.769997,66.099998,69.260002,56.472038,304123000
2016-11-01,69.480003,80.529999,67.639999,80.169998,65.842857,458561900
2016-12-01,80.650002,87.389999,80.650002,86.290001,70.869133,343139500
2017-01-01,87.339996,88.169998,83.029999,84.629997,69.505791,343161300
2017-02-01,85.540001,91.339996,84.160004,90.620003,74.837135,271414600
2017-03-01,92.790001,93.980003,85.230003,87.839996,72.541313,371669000
2017-04-01,87.989998,89.129997,84.360001,87.000000,71.847610,321139800
2017-05-01,87.360001,88.089996,81.639999,82.150002,68.232124,283639500
2017-06-01,82.459999,92.650002,81.650002,91.400002,75.914993,334136800
2017-07-01,91.559998,94.510002,90.320000,91.800003,76.247223,271473000
2017-08-01,92.489998,95.220001,90.160004,90.889999,75.906631,253237800
2017-09-01,91.250000,95.879997,88.080002,95.510002,79.765015,250922800
2017-10-01,95.769997,102.419998,94.959999,100.610001,84.024269,259433200
2017-11-01,101.099998,106.660004,95.949997,104.519997,87.799957,256086400
2017-12-01,104.900002,108.459999,102.199997,106.940002,89.832832,284432100
